CHEM_ID,BIOCHEMICAL_NAME,TYPE,COMMENTS,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,SMILES,COMP_ID_1,COMP_ID_2,LIB_ID_1,LIB_ID_2,LIB_ID_3,LIB_ID_4,LIB_ID_5,LIB_ID_6,LIB_ID_7,HMDB_ID
35,S-1-pyrroline-5-carboxylate,NAMED,,Amino Acid,Glutamate Metabolism,62,OC(C1CCC=N1)=O,42370,42370,400,400,400,400,400,400,400,HMDB0001301
50,spermidine,NAMED,"elutes at the end of the run, so some missing values may not be LOD",Amino Acid,Polyamine Metabolism,545,NCCCCNCCCN,485,485,400,400,400,400,400,400,400,HMDB0001257
55,1-methylnicotinamide,NAMED,,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4314,C[N+]1=CC(C([NH-])=O)=CC=C1,27665,27665,400,400,400,400,400,400,400,HMDB0000699
62,"12,13-DiHOME",NAMED,,Lipid,"Fatty Acid, Dihydroxy",2030,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,38395,38395,,,209,209,209,209,209,HMDB0004705
71,5-hydroxyindoleacetate,NAMED,,Amino Acid,Tryptophan Metabolism,271,OC1=CC=C(NC=C2CC(O)=O)C2=C1,437,,400,400,,209,,,,HMDB0000763
93,alpha-ketoglutarate,NAMED,,Energy,TCA Cycle,1445,O=C(C(O)=O)CCC(O)=O,528,528,305,305,305,305,305,305,305,HMDB0000208
98,kynurenate,NAMED,,Amino Acid,Tryptophan Metabolism,272,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,1417,1417,209,209,209,209,209,209,209,HMDB0000715
111,3-hydroxyisobutyrate,NAMED,,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",428,CC(C(O)=O)CO,1549,1549,305,305,305,305,305,305,305,HMDB0000023;HMDB0000336
112,3-hydroxy-3-methylglutarate,NAMED,,Lipid,Mevalonate Metabolism,3175,CC(CC(O)=O)(CC(O)=O)O,531,531,305,305,305,305,305,305,305,HMDB0000355
117,homovanillate (HVA),NAMED,,Amino Acid,Tyrosine Metabolism,210,COC1=CC(CC(O)=O)=CC=C1O,1101,1101,209,209,209,209,209,209,,HMDB0000118
132,3-phosphoglycerate,NAMED,,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1237,OC(C(O)=O)COP(O)(O)=O,1414,1414,400,400,400,400,400,400,400,HMDB0000807
136,cholate,NAMED,,Lipid,Primary Bile Acid Metabolism,3452,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,22842,22842,209,209,209,209,209,209,209,HMDB0000619
144,4-hydroxyphenylacetate,NAMED,,Amino Acid,Phenylalanine Metabolism,159,OC(CC1=CC=C(C=C1)O)=O,541,541,209,209,209,209,209,209,209,HMDB0000020
158,"5,6-dihydrothymine",NAMED,,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4278,O=C(NCC1C)NC1=O,1418,1418,209,209,209,209,209,209,209,HMDB0000079
171,hypoxanthine,NAMED,,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4118,O=C1C(N=CN2)=C2N=CN1,3127,3127,209,209,209,209,209,209,209,HMDB0000157
179,"9,10-DiHOME",NAMED,,Lipid,"Fatty Acid, Dihydroxy",2031,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,38399,38399,,,209,209,209,209,209,HMDB0004704
180,linoleate (18:2n6),NAMED,,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1567,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,1105,1105,209,209,209,209,209,209,209,HMDB0006270;HMDB0000673
181,laurate (12:0),NAMED,,Lipid,Medium Chain Fatty Acid,1502,O=C(O)CCCCCCCCCCC,1645,1645,209,209,209,209,209,209,209,HMDB0000638
182,quinolinate,NAMED,,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4298,OC(C(C=CC=N1)=C1C(O)=O)=O,1899,1899,400,400,400,400,400,400,400,HMDB0000232
189,"N6,N6,N6-trimethyllysine",NAMED,,Amino Acid,Lysine Metabolism,116,C[N+](C)(CCCCC(C([O-])=O)N)C,1498,1498,400,400,400,400,400,400,400,HMDB0001325
192,N-acetylputrescine,NAMED,,Amino Acid,Polyamine Metabolism,538,CC(NCCCCN)=O,37496,37496,400,400,400,400,400,400,400,HMDB0002064
194,N-formylmethionine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",437,CSCCC(C(O)=O)NC=O,2829,2829,209,209,209,209,209,209,209,HMDB0001015
197,S-adenosylhomocysteine (SAH),NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,42382,42382,209,,209,209,209,209,209,HMDB0000939
207,"adenosine 3',5'-cyclic monophosphate (cAMP)",NAMED,,Nucleotide,"Purine Metabolism, Adenine containing",4140,NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O,2831,2831,209,,,,209,209,209,HMDB0000058
