CID	Gene	PIP	Posterior_Effect	Posterior_SD	FDR_SIG05
C100000282	ACY1_Q03154_OID20137_v1_Cardiometabolic	1	0.541241250925157	0.0572520133863222	TRUE
C100001416	NT5C_Q8TCD5_OID30294_v1_Cardiometabolic_II	1	0.980050373663538	0.0264774819728519	TRUE
C100001437	GGT1_P19440_OID21075_v1_Neurology	1	1.20434925184032	0.0572313632726644	TRUE
C100001446	TYMP_P19971_OID20234_v1_Cardiometabolic	1	-1.73342054269978	0.0663721318321037	TRUE
C100001466	BST1_Q10588_OID21051_v1_Neurology	1	0.652687199981572	0.00977014013480232	TRUE
C100003260	AOC1_P19801_OID20452_v1_Inflammation	1	0.782180921771796	0.0447388833129488	TRUE
C100020219	GSTT2B_P0CG30_OID31097_v1_Neurology_II	1	0.376487525060472	0.0118975813393588	TRUE
C100020372	GSTT2B_P0CG30_OID31097_v1_Neurology_II	1	0.324119121016516	0.013168752746478	TRUE
C100020487	AOC1_P19801_OID20452_v1_Inflammation	1	0.683797002194914	0.0432214743497925	TRUE
C1082	ACY1_Q03154_OID20137_v1_Cardiometabolic	1	0.522650053142219	0.0570020867517775	TRUE
C1162	NPL_Q9BXD5_OID30329_v1_Cardiometabolic_II	1	-0.388496617737039	0.033367808603498	TRUE
C1224	DPEP1_P16444_OID20897_v1_Neurology	1	0.313072620730876	0.0140486832871917	TRUE
C194	ACY1_Q03154_OID20137_v1_Cardiometabolic	1	0.917506014676492	0.0554524370840295	TRUE
C278	DPEP1_P16444_OID20897_v1_Neurology	1	0.264787415548366	0.014490772834852	TRUE
C999912411	MRI1_Q9BV20_OID30891_v1_Neurology_II	1	-1.11396584261959	0.0346473644725097	TRUE
C100001253	ACY1_Q03154_OID20137_v1_Cardiometabolic	0.999999999999999	0.503848546914577	0.0565038228943625	TRUE
C100002989	APOC1_P02654_OID30749_v1_Inflammation_II	0.999999999999959	-0.483992695622291	0.040069770256075	TRUE
C100002367	AGXT_P21549_OID20139_v1_Cardiometabolic	0.999999999997244	-1.0210603035964	0.0465467910233195	TRUE
C100021104	SULT2A1_Q06520_OID20508_v1_Inflammation	0.99999999999499	1.89058801162277	0.0487546964151991	TRUE
C100005986	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999993065	0.327974189452355	0.0374488252121198	TRUE
C100002107	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999972503	0.401627153780731	0.0373348573093925	TRUE
C100021000	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999927225	0.340652776658697	0.0373571150237754	TRUE
C100001615	ADH1B_P00325_OID30612_v1_Inflammation_II	0.999999999917196	-0.73313033400636	0.0970771802152583	TRUE
C100021162	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999816529	0.355843041488222	0.0379212855515336	TRUE
C100006298	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999797986	0.37009042384061	0.0422266713503378	TRUE
C100015620	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999759002	0.352483572256352	0.0422509197010054	TRUE
C100015882	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999738436	0.374202704065249	0.0426409818338907	TRUE
C100009030	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999718259	0.302519476349159	0.0372766905620801	TRUE
C100006115	HSD17B14_Q9BPX1_OID31098_v1_Neurology_II	0.999999999357148	-0.133666586187266	0.0154816993810337	TRUE
C1053	UPB1_Q9UBR1_OID30352_v1_Cardiometabolic_II	0.99999999934221	-1.24637123944012	0.166392416507821	TRUE
C100009162	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999999257932	0.3349200028215	0.0373700806715628	TRUE
C100015586	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999998590391	0.313317972483228	0.0373406976521288	TRUE
C231	ARG1_P05089_OID21445_v1_Oncology	0.999999996030064	0.675069640247014	0.0574693550705285	TRUE
C100008957	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999995703107	0.263812977022728	0.0372747607562921	TRUE
C100009272	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999993559218	0.311423712743401	0.0372846276283871	TRUE
C100000299	GMPR_P36959_OID20641_v1_Inflammation	0.999999993329868	-0.777161557345046	0.0668342306423901	TRUE
C100015745	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999989501943	0.322813922790038	0.0427287087484434	TRUE
C1215	SERPINA1_P01009_OID30750_v1_Inflammation_II	0.999999989018455	-0.557591144299825	0.0654353284401289	TRUE
C100002990	APOC1_P02654_OID30749_v1_Inflammation_II	0.999999988643657	-0.313849225326155	0.0430227314203343	TRUE
C100008954	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999984808124	0.392375075664469	0.0373580921459685	TRUE
C100001293	ACY1_Q03154_OID20137_v1_Cardiometabolic	0.999999984793921	0.385651210180959	0.0562517500621554	TRUE
C100001295	GGT1_P19440_OID21075_v1_Neurology	0.999999984377227	0.540163114322135	0.0535597521888815	TRUE
C100010937	APOC1_P02654_OID30749_v1_Inflammation_II	0.999999983590646	-0.341840323049027	0.0414479405321916	TRUE
C100015625	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999963593952	0.325376821811719	0.0431979125963709	TRUE
C100021103	SULT2A1_Q06520_OID20508_v1_Inflammation	0.99999995425212	0.901290524410688	0.0513376891180207	TRUE
C100008921	PON1_P27169_OID30704_v1_Inflammation_II	0.999999948722074	0.106653554712171	0.0146066491822516	TRUE
C999924309	ACP6_Q9NPH0_OID21432_v1_Oncology	0.99999994179285	0.131680833804968	0.0180996898258915	TRUE
C266	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999934669713	0.360123285420293	0.037305059544484	TRUE
C100004329	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.99999992536269	0.246631920771472	0.0371993758159098	TRUE
C100001614	ADH1B_P00325_OID30612_v1_Inflammation_II	0.999999923483592	-0.645688483661362	0.0967011302424875	TRUE
C100008977	APOC1_P02654_OID30749_v1_Inflammation_II	0.999999906189684	-0.357644952521422	0.0388833275050308	TRUE
C100020409	SULT1A1_P50225_OID21031_v1_Neurology	0.999999862162014	0.706665555792173	0.0954184015554929	TRUE
C100006314	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.9999998446436	0.251411306634507	0.0372151252966978	TRUE
C100006294	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999793961463	0.254263637822989	0.0374040317439481	TRUE
C1538	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999769321723	0.269193618970113	0.0372693144269678	TRUE
C100009020	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999746043164	0.265767054311724	0.0373020267922061	TRUE
C100009038	PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	0.999999737766042	0.286013019053801	0.0373514357773207	TRUE
