CID	Type	N	Vg_Vp	Vg_Vp_SE	Pval	LRT	logL	logL0	Vg	Ve	Vp	Vg_SE	Ve_SE	Vp_SE
C35	single_GRM	7010	0.115525	0.055183	0.015543	4.648	-3469.608	-3471.932	0.114361	0.875566	0.989927	0.054757	0.055893	0.016742
C50	single_GRM	6299	0.143798	0.061686	0.009687	5.467	-3117.205	-3119.938	0.142372	0.847711	0.990083	0.061275	0.062056	0.017674
C55	single_GRM	7045	0.187893	0.055394	0.00013926	13.21	-3496.936	-3503.541	0.18678	0.807298	0.994078	0.055381	0.055775	0.016793
C62	single_GRM	5013	0.114891	0.074265	0.059767	2.423	-2525.156	-2526.368	0.1157	0.89134	1.007039	0.074941	0.075997	0.020143
C71	single_GRM	1669	0.160808	0.169807	0.16054	0.985	-844.672	-845.164	0.16235	0.847237	1.009587	0.17182	0.172422	0.035007
C93	single_GRM	7053	0.103441	0.054692	0.027143	3.704	-3473.257	-3475.109	0.101873	0.882966	0.984839	0.053968	0.055222	0.016603
C98	single_GRM	7054	0.213246	0.054166	4.6976e-06	19.631	-3478.568	-3488.383	0.210745	0.777524	0.988268	0.053925	0.054117	0.016692
C111	single_GRM	7000	0.113746	0.054867	0.016436	4.552	-3473.936	-3476.213	0.112896	0.879631	0.992527	0.054582	0.055759	0.016797
C112	single_GRM	7039	0.1441	0.056302	0.0054492	6.482	-3493.431	-3496.672	0.143102	0.849971	0.993073	0.056107	0.056894	0.01677
C117	single_GRM	4947	0.118843	0.074666	0.055311	2.545	-2463.721	-2464.994	0.118294	0.877086	0.99538	0.074461	0.075646	0.020035
C132	single_GRM	5906	0.000878	0.058001	0.49368	0	-2922.101	-2922.101	0.000867	0.987439	0.988306	0.057323	0.059889	0.01819
C136	single_GRM	6902	0.122872	0.05491	0.0083965	5.718	-3448.615	-3451.474	0.122803	0.876637	0.99944	0.055028	0.056124	0.017037
C144	single_GRM	5751	0.05567	0.063147	0.18099	0.831	-2810.78	-2811.195	0.054375	0.922353	0.976728	0.061712	0.063598	0.018222
C158	single_GRM	7004	0.109851	0.055384	0.023001	3.982	-3437.741	-3439.732	0.107844	0.873888	0.981733	0.054491	0.055655	0.01661
C171	single_GRM	7029	0.08099	0.054139	0.05972	2.425	-3490.013	-3491.226	0.08039	0.912204	0.992594	0.053807	0.055327	0.016757
C179	single_GRM	4865	0.111368	0.074661	0.063748	2.323	-2433.855	-2435.017	0.111376	0.888697	1.000073	0.074814	0.07593	0.020305
C180	single_GRM	7055	0.056368	0.0552	0.1588	0.999	-3579.685	-3580.185	0.057167	0.956994	1.014161	0.056021	0.057771	0.017085
C181	single_GRM	7055	0.072439	0.055109	0.092956	1.75	-3581.098	-3581.973	0.073507	0.941228	1.014735	0.05598	0.05757	0.017098
C182	single_GRM	6843	0.195463	0.057472	0.00028241	11.888	-3424.114	-3430.059	0.195899	0.806331	1.002229	0.057949	0.05822	0.017184
C189	single_GRM	7055	0.229331	0.055681	3.5185e-06	20.183	-3562.095	-3572.186	0.232132	0.780081	1.012213	0.056828	0.056784	0.017105
C192	single_GRM	7051	0.395801	0.055684	9.992e-16	63.112	-3477.38	-3508.936	0.393516	0.600712	0.994228	0.056644	0.05494	0.016897
C194	single_GRM	7055	0.191217	0.055015	8.059e-05	14.237	-3477.979	-3485.097	0.188818	0.798637	0.987455	0.054649	0.055017	0.016671
C197	single_GRM	5811	0.061339	0.061154	0.14217	1.146	-2826.889	-2827.462	0.059644	0.91272	0.972364	0.059505	0.061375	0.018048
C207	single_GRM	2775	0.290766	0.113653	0.0021621	8.142	-1361.953	-1366.024	0.28549	0.696363	0.981853	0.112389	0.111855	0.026428
C208	single_GRM	950	1e-06	0.252414	0.5	0	-477.065	-477.065	1e-06	0.997635	0.997636	0.251817	0.254415	0.045813
C209	single_GRM	6923	0.039921	0.056053	0.24446	0.479	-3422.056	-3422.295	0.039434	0.948358	0.987792	0.055391	0.057252	0.016797
C212	single_GRM	7052	0.166214	0.05474	0.00072517	10.141	-3522.784	-3527.855	0.16621	0.833766	0.999976	0.054991	0.055631	0.016877
C213	single_GRM	2245	1e-06	0.141435	0.5	0	-1124.643	-1124.641	1e-06	0.997033	0.997034	0.141015	0.142776	0.029769
C215	single_GRM	2112	1e-06	0.138194	0.5	0	-1071.063	-1071.063	1e-06	1.010852	1.010853	0.139694	0.142126	0.031126
C229	single_GRM	7055	0.095452	0.056023	0.044017	2.91	-3523.058	-3524.513	0.095304	0.90315	0.998454	0.056031	0.057317	0.016829
C231	single_GRM	7055	0.274705	0.057758	1.1188e-06	22.379	-3469.303	-3480.493	0.271182	0.715991	0.987173	0.057666	0.057072	0.016709
C234	single_GRM	7055	0.200699	0.054906	3.0833e-05	16.051	-3495.201	-3503.226	0.199194	0.793308	0.992502	0.054849	0.055131	0.016759
C235	single_GRM	6272	0.291571	0.060939	3.1888e-08	29.245	-3157.734	-3172.357	0.294596	0.71578	1.010376	0.062301	0.061676	0.018128
C240	single_GRM	7054	0.306676	0.05664	1.4282e-08	30.803	-3481.303	-3496.705	0.304121	0.687546	0.991666	0.056962	0.056103	0.0168
C241	single_GRM	6787	0.142257	0.05669	0.0042557	6.923	-3359.456	-3362.918	0.140893	0.849516	0.990409	0.056338	0.057194	0.017031
C244	single_GRM	6832	0.079121	0.051324	0.037158	3.185	-3446.587	-3448.179	0.079786	0.928619	1.008405	0.051818	0.053643	0.017264
C250	single_GRM	7054	0.344022	0.057527	8.407e-10	36.312	-3503.432	-3521.588	0.343742	0.655443	0.999185	0.05848	0.057197	0.016953
C252	single_GRM	7046	0.149157	0.054632	0.0023454	7.995	-3522.496	-3526.493	0.149219	0.851195	1.000414	0.054862	0.055682	0.016886
C254	single_GRM	7053	0.047087	0.052987	0.18024	0.836	-3523.631	-3524.049	0.04701	0.951359	0.998369	0.052928	0.054857	0.016819
C266	single_GRM	7055	0.215242	0.05698	7.2068e-05	14.447	-3481.211	-3488.435	0.212856	0.776059	0.988915	0.056758	0.056792	0.016708
C267	single_GRM	7055	0.202699	0.05643	0.00013002	13.338	-3494.004	-3500.673	0.201121	0.791091	0.992211	0.056356	0.056542	0.016758
C273	single_GRM	7042	0.143887	0.053425	0.001062	9.439	-3517.978	-3522.698	0.143829	0.85577	0.9996	0.053596	0.054532	0.016874
C275	single_GRM	7055	0.189961	0.051483	1.7641e-06	21.505	-3509.569	-3520.322	0.189261	0.807051	0.996311	0.051607	0.052174	0.016815
C278	single_GRM	6712	0.181469	0.059308	0.0011797	9.247	-3321.537	-3326.16	0.179806	0.811028	0.990834	0.059066	0.059448	0.017148
