Gene	STAT	GRCP	GLCP	intact_posterior	intact_posterior_t5	FDR_SIG25	FDR_SIG05	FDR_SIG05_t5
C100001293_VGF_O15240_OID31067_v1_Neurology_II	17.7593595137122	0.6989	0.9977	1	1	TRUE	TRUE	TRUE
C100001295_GGT1_P19440_OID21075_v1_Neurology	10.1340696512785	0.5191	0.8845	1	1	TRUE	TRUE	TRUE
C100001437_GGT1_P19440_OID21075_v1_Neurology	21.1924640994061	0.7088	0.9997	1	1	TRUE	TRUE	TRUE
C100001466_BST1_Q10588_OID21051_v1_Neurology	71.3951494209647	0.9634	0.9761	1	1	TRUE	TRUE	TRUE
C100001466_CD38_P28907_OID21316_v1_Oncology	-11.9728483373125	0.9225	0.959	1	1	TRUE	TRUE	TRUE
C100002107_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	10.8032359783439	0.9933	0.9933	1	1	TRUE	TRUE	TRUE
C100002367_AGXT_P21549_OID20139_v1_Cardiometabolic	-21.6902567309343	1	1	1	1	TRUE	TRUE	TRUE
C100002466_DPEP1_P16444_OID20897_v1_Neurology	9.82797470200178	0.9982	0.9982	1	1	TRUE	TRUE	TRUE
C100003258_COMT_P21964_OID20086_v1_Cardiometabolic	-36.124126552024	0.9763	0.9763	1	1	TRUE	TRUE	TRUE
C100003260_AOC1_P19801_OID20452_v1_Inflammation	15.0425995734583	0.7791	0.7791	1	1	TRUE	TRUE	TRUE
C100008954_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	10.5500261007015	0.9996	0.9996	1	1	TRUE	TRUE	TRUE
C100020219_GSTT2B_P0CG30_OID31097_v1_Neurology_II	30.6799291293025	0.9877	0.9877	1	1	TRUE	TRUE	TRUE
C100020372_GSTT2B_P0CG30_OID31097_v1_Neurology_II	25.680333250414	0.9741	0.9741	1	1	TRUE	TRUE	TRUE
C100020487_AOC1_P19801_OID20452_v1_Inflammation	17.688018054096	0.8832	0.8832	1	1	TRUE	TRUE	TRUE
C1021_OPLAH_O14841_OID30201_v1_Cardiometabolic_II	-15.0495997684248	0.8333	0.9983	1	1	TRUE	TRUE	TRUE
C1224_DPEP1_P16444_OID20897_v1_Neurology	22.3963353702572	1	1	1	1	TRUE	TRUE	TRUE
C194_ACY1_Q03154_OID20137_v1_Cardiometabolic	16.5751300960098	1	1	1	1	TRUE	TRUE	TRUE
C231_ARG1_P05089_OID21445_v1_Oncology	11.7884673026415	0.8299	0.997	1	1	TRUE	TRUE	TRUE
C234_SLMAP_Q14BN4_OID31441_v1_Oncology_II	11.158116739222	0.9183	0.9183	1	1	TRUE	TRUE	TRUE
C266_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	9.70464069744157	0.9977	0.9977	1	1	TRUE	TRUE	TRUE
C278_DPEP1_P16444_OID20897_v1_Neurology	19.1973817933398	1	1	1	1	TRUE	TRUE	TRUE
C50_SLMAP_Q14BN4_OID31441_v1_Oncology_II	9.9687985418436	0.9995	0.9995	1	1	TRUE	TRUE	TRUE
C999912411_MRI1_Q9BV20_OID30891_v1_Neurology_II	-32.2092215858137	1	1	1	1	TRUE	TRUE	TRUE
C999912707_COMT_P21964_OID20086_v1_Cardiometabolic	15.6099611391659	0.7265	0.7265	1	1	TRUE	TRUE	TRUE
C999912713_COMT_P21964_OID20086_v1_Cardiometabolic	-10.5993378301214	0.7759	0.7759	1	1	TRUE	TRUE	TRUE
C100000282_ACY1_Q03154_OID20137_v1_Cardiometabolic	9.50587056774077	0.9988	0.9988	1	1	TRUE	TRUE	TRUE
C100021162_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	9.43635059726612	0.9984	0.9984	1	1	TRUE	TRUE	TRUE
C999923639_AGXT_P21549_OID20139_v1_Cardiometabolic	9.34763515273685	1	1	0.999999999999999	0.999999999999999	TRUE	TRUE	TRUE
C100004541_AOC1_P19801_OID20452_v1_Inflammation	9.27560278957119	0.9405	0.9405	0.999999999999998	0.999999999999998	TRUE	TRUE	TRUE
C100021198_CHMP1A_Q9HD42_OID20930_v1_Neurology	9.31162495882526	0.5169	0.707	0.999999999999998	0.999999999999998	TRUE	TRUE	TRUE
C1082_ACY1_Q03154_OID20137_v1_Cardiometabolic	9.2228149869416	0.9442	0.9442	0.999999999999997	0.999999999999997	TRUE	TRUE	TRUE
C100021000_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	9.17299861203354	0.986	0.986	0.999999999999996	0.999999999999996	TRUE	TRUE	TRUE
C100009162_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	9.01738709355589	0.8788	0.8788	0.999999999999983	0.999999999999983	TRUE	TRUE	TRUE
C100001253_ACY1_Q03154_OID20137_v1_Cardiometabolic	8.97246017652513	0.9863	0.9863	0.999999999999978	0.999999999999978	TRUE	TRUE	TRUE
C100015882_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.83185546852355	0.9973	0.9974	0.999999999999931	0.999999999999931	TRUE	TRUE	TRUE
C100006298_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.8206546178572	0.9701	0.9701	0.999999999999922	0.999999999999922	TRUE	TRUE	TRUE
C100005986_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.81436391971893	0.9647	0.9647	0.999999999999917	0.999999999999917	TRUE	TRUE	TRUE
C999924309_EPHX2_P34913_OID20119_v1_Cardiometabolic	-8.54416906033669	0.9997	1	0.999999999999293	0.999999999999293	TRUE	TRUE	TRUE
